movieId,title,genres,year,genre_list,poster_url,overview,tmdb_release_date,metadata_source
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",,,,movielens
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,"['Adventure', 'Children', 'Fantasy']",,,,movielens
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",,,,movielens
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",,,,movielens
5,Father of the Bride Part II (1995),Comedy,1995.0,['Comedy'],,,,movielens
6,Heat (1995),Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",,,,movielens
7,Sabrina (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",,,,movielens
8,Tom and Huck (1995),Adventure|Children,1995.0,"['Adventure', 'Children']",,,,movielens
9,Sudden Death (1995),Action,1995.0,['Action'],,,,movielens
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,"['Action', 'Adventure', 'Thriller']",,,,movielens
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",,,,movielens
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,"['Comedy', 'Horror']",,,,movielens
13,Balto (1995),Adventure|Animation|Children,1995.0,"['Adventure', 'Animation', 'Children']",,,,movielens
14,Nixon (1995),Drama,1995.0,['Drama'],,,,movielens
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,"['Action', 'Adventure', 'Romance']",,,,movielens
16,Casino (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",,,,movielens
17,Sense and Sensibility (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens
18,Four Rooms (1995),Comedy,1995.0,['Comedy'],,,,movielens
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,['Comedy'],,,,movielens
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",,,,movielens
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,"['Comedy', 'Crime', 'Thriller']",,,,movielens
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",,,,movielens
23,Assassins (1995),Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",,,,movielens
24,Powder (1995),Drama|Sci-Fi,1995.0,"['Drama', 'Sci-Fi']",,,,movielens
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens
26,Othello (1995),Drama,1995.0,['Drama'],,,,movielens
27,Now and Then (1995),Children|Drama,1995.0,"['Children', 'Drama']",,,,movielens
28,Persuasion (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",,,,movielens
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",,,,movielens
31,Dangerous Minds (1995),Drama,1995.0,['Drama'],,,,movielens
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995.0,"['Mystery', 'Sci-Fi', 'Thriller']",,,,movielens
33,Wings of Courage (1995),Adventure|Romance|IMAX,1995.0,"['Adventure', 'Romance', 'IMAX']",,,,movielens
34,Babe (1995),Children|Drama,1995.0,"['Children', 'Drama']",,,,movielens
35,Carrington (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens
36,Dead Man Walking (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",,,,movielens
37,Across the Sea of Time (1995),Documentary|IMAX,1995.0,"['Documentary', 'IMAX']",,,,movielens
38,It Takes Two (1995),Children|Comedy,1995.0,"['Children', 'Comedy']",,,,movielens
39,Clueless (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",,,,movielens
40,"Cry, the Beloved Country (1995)",Drama,1995.0,['Drama'],,,,movielens
41,Richard III (1995),Drama|War,1995.0,"['Drama', 'War']",,,,movielens
42,Dead Presidents (1995),Action|Crime|Drama,1995.0,"['Action', 'Crime', 'Drama']",,,,movielens
43,Restoration (1995),Drama,1995.0,['Drama'],,,,movielens
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995.0,"['Action', 'Adventure', 'Fantasy']",,,,movielens
45,To Die For (1995),Comedy|Drama|Thriller,1995.0,"['Comedy', 'Drama', 'Thriller']",,,,movielens
46,How to Make an American Quilt (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995.0,"['Mystery', 'Thriller']",,,,movielens
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995.0,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",,,,movielens
49,When Night Is Falling (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995.0,"['Crime', 'Mystery', 'Thriller']",,,,movielens
51,Guardian Angel (1994),Action|Drama|Thriller,1994.0,"['Action', 'Drama', 'Thriller']",,,,movielens
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",,,,movielens
53,Lamerica (1994),Adventure|Drama,1994.0,"['Adventure', 'Drama']",,,,movielens
54,"Big Green, The (1995)",Children|Comedy,1995.0,"['Children', 'Comedy']",,,,movielens
55,Georgia (1995),Drama,1995.0,['Drama'],,,,movielens
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,1995.0,"['Adventure', 'Children', 'Comedy', 'Fantasy']",,,,movielens
57,Home for the Holidays (1995),Drama,1995.0,['Drama'],,,,movielens
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994.0,"['Comedy', 'Drama', 'Romance']",,,,movielens
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1995.0,"['Drama', 'Mystery']",,,,movielens
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995.0,"['Adventure', 'Children', 'Fantasy']",,,,movielens
61,Eye for an Eye (1996),Drama|Thriller,1996.0,"['Drama', 'Thriller']",,,,movielens
