movieId,title,genres,year,genre_list,poster_url,overview,tmdb_release_date,metadata_source,count,mean,weighted_score
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",,,,movielens,68997.0,3.8974376,3.8973961793238785
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,"['Adventure', 'Children', 'Fantasy']",,,,movielens,28904.0,3.2757578,3.275831015385774
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",,,,movielens,13134.0,3.1394472,3.1396912837605413
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",,,,movielens,2806.0,2.8453314,2.8473074483634226
5,Father of the Bride Part II (1995),Comedy,1995.0,['Comedy'],,,,movielens,13154.0,3.0596015,3.0598937770259216
6,Heat (1995),Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",,,,movielens,29490.0,3.8682773,3.868188388259203
7,Sabrina (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",,,,movielens,13585.0,3.3639677,3.3640714917568446
8,Tom and Huck (1995),Adventure|Children,1995.0,"['Adventure', 'Children']",,,,movielens,1510.0,3.115563,3.1178018239489966
9,Sudden Death (1995),Action,1995.0,['Action'],,,,movielens,4154.0,2.9877226,2.9887849574247154
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,"['Action', 'Adventure', 'Thriller']",,,,movielens,32474.0,3.42785,3.4278777269268628
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",,,,movielens,19127.0,3.65716,3.6571112266557475
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,"['Comedy', 'Horror']",,,,movielens,4258.0,2.649131,2.6508024420695744
13,Balto (1995),Adventure|Animation|Children,1995.0,"['Adventure', 'Animation', 'Children']",,,,movielens,2107.0,3.3540578,3.3547626132378903
14,Nixon (1995),Drama,1995.0,['Drama'],,,,movielens,6116.0,3.4283028,3.428449195946532
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,"['Action', 'Adventure', 'Romance']",,,,movielens,3099.0,2.730881,2.732965339446398
16,Casino (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",,,,movielens,22298.0,3.8383486,3.8382417669127813
17,Sense and Sensibility (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens,22251.0,3.945126,3.944980594495851
18,Four Rooms (1995),Comedy,1995.0,['Comedy'],,,,movielens,6191.0,3.4034889,3.403665556948422
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,['Comedy'],,,,movielens,24849.0,2.66391,2.6641920011223963
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",,,,movielens,4306.0,2.8714585,2.872699025940663
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,"['Comedy', 'Crime', 'Thriller']",,,,movielens,24829.0,3.5650852,3.565077220183589
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",,,,movielens,10317.0,3.3158865,3.3160604513874934
23,Assassins (1995),Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",,,,movielens,4717.0,3.1504135,3.151073800546152
24,Powder (1995),Drama|Sci-Fi,1995.0,"['Drama', 'Sci-Fi']",,,,movielens,8293.0,3.1860604,3.1864019154841725
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens,22525.0,3.676182,3.676133822766272
26,Othello (1995),Drama,1995.0,['Drama'],,,,movielens,2802.0,3.6079586,3.6077662055602704
27,Now and Then (1995),Children|Drama,1995.0,"['Children', 'Drama']",,,,movielens,1802.0,3.4125972,3.4131620349146385
28,Persuasion (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",,,,movielens,3310.0,4.041239,4.040031206615004
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",,,,movielens,9413.0,3.9298842,3.9295534546771838
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",,,,movielens,1300.0,3.6296153,3.629069621409845
